year	emp	wage	cap	indoutpt	n	w	k	ys	id
1977	5.041	13.1516	.5894	95.7072	1.617604	2.576543	-.5286502	4.561294	1
1978	5.6	12.3018	.6318	97.3569	1.722767	2.509746	-.4591824	4.578383	1
1979	5.015	12.8395	.6771	99.6083	1.612433	2.552526	-.3899363	4.601245	1
1980	4.715	13.8039	.6171	100.5501	1.550749	2.624951	-.4827242	4.610656	1
1981	4.093	14.2897	.5076	99.5581	1.409278	2.659539	-.6780615	4.600741	1
1982	3.166	14.8681	.4229	98.6151	1.152469	2.699218	-.8606195	4.591224	1
1983	2.936	13.7784	.392	100.0301	1.077048	2.623102	-.9364935	4.605471	1
1977	71.319	14.7909	16.9363	95.7072	4.267163	2.694012	2.829459	4.561294	2
1978	70.643	14.1036	17.2422	97.3569	4.257639	2.64643	2.84736	4.578383	2
1979	70.918	14.9534	17.5413	99.6083	4.261524	2.704939	2.864558	4.601245	2
1980	72.031	15.491	17.6574	100.5501	4.277097	2.740259	2.871155	4.610656	2
1981	73.689	16.1969	16.7133	99.5581	4.299854	2.78482	2.816205	4.600741	2
1982	72.419	16.1314	16.2469	98.6151	4.282469	2.780768	2.787902	4.591224	2
1983	68.518	16.3051	17.3696	100.0301	4.227097	2.791478	2.854722	4.605471	2
1977	19.156	22.692	7.0975	95.7072	2.952616	3.122012	1.959743	4.561294	3
1978	19.44	20.6938	6.9469	97.3569	2.967333	3.029834	1.938295	4.578383	3
1979	19.9	21.2048	6.8565	99.6083	2.99072	3.054228	1.925197	4.601245	3
1980	20.24	22.197	6.6547	100.5501	3.007661	3.099957	1.895323	4.610656	3
1981	19.57	24.8714	6.2136	99.5581	2.973998	3.213719	1.826741	4.600741	3
1982	18.125	24.8447	5.7146	98.6151	2.897292	3.212644	1.743024	4.591224	3
1983	16.85	28.9077	7.3431	100.0301	2.824351	3.364108	1.993761	4.605471	3
1977	26.16	14.8283	8.4902	118.2223	3.264231	2.696537	2.138913	4.772567	4
1978	26.74	14.8379	8.742	120.1551	3.28616	2.697185	2.168139	4.788784	4
1979	27.28	14.8756	9.1869	118.8319	3.306154	2.699722	2.217779	4.77771	4
1980	27.83	15.2332	9.4036	111.9164	3.326115	2.723477	2.241093	4.717752	4
1981	27.169	17.2529	8.8939	97.554	3.302077	2.84798	2.185366	4.580406	4
1982	24.504	19.3142	8.3905	92.1982	3.198836	2.96084	2.1271	4.523941	4
1983	22.562	20.0055	7.4351	92.4041	3.116267	2.996007	2.006212	4.526171	4
1976	86.677	20.6323	22.3804	94.8991	4.462189	3.026858	3.108186	4.552814	5
1977	87.1	18.2782	22.2703	96.5038	4.467057	2.905709	3.103254	4.569582	5
1978	87	18.1369	25.167	98.8163	4.465908	2.897949	3.225534	4.593263	5
1979	90.4	18.1896	25.3515	100.4835	4.504244	2.90085	3.232838	4.609993	5
1980	89.2	19.2893	28.2394	100.1223	4.490881	2.959551	3.340718	4.606392	5
1981	82.7	19.8242	25.7959	98.527	4.41522	2.986903	3.250216	4.590331	5
