id	nearc2	nearc4	nearc4a	nearc4b	ed76	ed66	age76	daded	nodaded	momed	nomomed	weight	momdad14	sinmom14	step14	reg661	reg662	reg663	reg664	reg665	reg666	reg667	reg668	reg669	south66	work76	work78	lwage76	lwage78	famed	black	smsa76r	smsa78r	reg76r	reg78r	reg80r	smsa66r	wage76	wage78	wage80	noint78	noint80	enroll76	enroll78	enroll80	kww	iq	marsta76	marsta78	marsta80	libcrd14
2	0	0	0	0	7	5	29	9.94	1	10.25	1	158413	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	6.306275	6.074846	9	1	1	1	0	0	0	1	548	500	755	0	0	0	0	0	15	NA	1	1	1	0
3	0	0	0	0	12	11	27	8	0	8	0	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6.175867	NA	8	0	1	1	0	0	0	1	481	NA	769	0	0	0	0	0	35	93	1	4	4	1
4	0	0	0	0	12	12	34	14	0	12	0	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6.580639	NA	2	0	1	NA	0	NA	NA	1	721	NA	NA	1	1	0	NA	NA	42	103	1	NA	NA	1
5	1	1	1	0	11	11	27	11	0	12	0	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5.521461	NA	6	0	1	NA	0	NA	0	1	250	NA	NA	1	0	0	NA	0	25	88	1	NA	5	1
6	1	1	1	0	12	12	34	8	0	7	0	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6.591674	6.544850	8	0	1	1	0	0	NA	1	729	800	NA	0	1	0	0	NA	34	108	1	1	NA	0
7	1	1	1	0	12	11	26	9	0	12	0	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6.214608	6.193518	6	0	1	1	0	0	0	1	500	563	630	0	0	0	0	0	38	85	1	4	4	1
8	1	1	1	0	18	16	33	14	0	14	0	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6.336826	6.465536	1	0	1	1	0	0	0	1	565	739	808	0	0	0	0	0	41	119	1	1	1	1
9	1	1	1	0	14	13	29	14	0	14	0	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6.410175	6.531004	1	0	1	1	0	0	0	1	608	789	825	0	0	0	0	0	46	108	1	1	1	1
10	1	1	1	0	12	12	28	12	0	12	0	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6.052089	6.148097	3	0	1	1	0	0	0	1	425	538	650	0	0	0	0	0	32	96	4	4	4	0
11	1	1	1	0	12	12	29	12	0	12	0	480445	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6.244167	6.257168	3	0	1	1	0	0	0	1	515	600	600	0	0	0	0	0	34	97	1	1	1	1
12	1	1	0	1	9	9	28	11	0	12	0	380166	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	5.416100	5.644063	6	0	1	1	0	0	0	1	225	325	NA	0	0	0	0	0	29	84	1	1	1	0
13	1	1	0	1	12	10	26	11	0	6	0	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	5.991465	5.912327	8	0	1	1	0	0	0	1	400	425	578	0	0	0	0	0	34	89	1	1	1	1
14	1	1	0	1	11	9	24	11	0	6	0	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	6.033086	NA	8	0	1	NA	0	NA	NA	1	417	NA	NA	1	1	0	NA	NA	22	93	1	NA	NA	1
15	1	1	0	1	11	9	30	11	0	6	0	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	5.379897	6.068828	8	0	1	1	0	0	0	1	217	497	563	0	0	0	0	0	27	74	1	1	1	0
16	1	1	0	1	16	16	31	9.94	1	8	0	648053	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	6.795706	6.805289	9	1	1	1	0	0	0	1	894	1038	1400	0	0	0	0	0	43	116	1	1	1	1
17	1	1	0	1	14	8	24	15	0	12	0	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5.703782	NA	2	0	1	1	0	0	0	1	300	NA	NA	0	0	0	0	0	36	NA	6	1	1	1
18	1	1	0	1	11	11	34	7	0	12	0	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	6	0	1	1	0	0	0	1	NA	NA	NA	0	0	0	0	0	37	104	1	1	1	0
19	1	1	0	1	12	12	34	12	0	8	0	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	5.846439	5.787164	5	0	1	1	0	0	0	1	346	375	NA	0	0	0	0	0	40	93	1	5	1	1
20	1	1	0	1	14	14	29	9.94	1	12	0	496635	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	6.489205	6.524647	4	0	1	1	0	0	0	1	658	784	936	0	0	0	0	0	35	100	1	1	1	1
22	1	1	0	1	10	9	26	8	0	8	0	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6.354370	6.297990	8	0	1	1	0	0	0	1	575	625	600	0	0	0	0	0	24	91	6	6	6	0
24	1	1	0	1	10	9	27	9.94	1	8	0	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NA	6.574409	9	0	1	1	0	0	0	1	NA	824	1020	0	0	0	0	0	38	82	1	1	1	0
25	1	1	0	1	12	12	32	8	0	8	0	355491	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	6.475433	NA	8	0	1	NA	0	NA	NA	1	649	NA	NA	1	1	0	NA	NA	35	88	1	NA	NA	0
26	1	1	1	0	18	17	32	12	0	13	0	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	6.850126	7.006223	2	0	1	1	1	1	0	1	944	1269	1849	0	0	0	0	0	43	NA	1	1	1	1
29	1	1	1	0	18	15	34	9.94	1	8	0	408301	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	6.419995	6.701854	9	0	1	1	0	0	0	1	614	936	1082	0	0	0	0	0	50	114	1	1	1	1
30	1	1	1	0	15	14	32	5	0	14	0	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	6.587550	6.601939	6	0	0	0	0	0	0	1	726	847	1154	0	0	0	0	0	37	111	1	1	1	1
31	0	1	1	0	12	11	28	14	0	12	0	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	6.403574	5.800409	2	0	1	1	0	0	0	1	604	380	425	0	0	0	0	0	44	NA	1	5	5	1
32	0	1	1	0	12	12	32	11	0	12	0	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	6.541030	6.624123	6	0	1	1	0	0	0	1	693	866	1000	0	0	0	0	0	44	95	1	1	1	1
34	0	1	1	0	14	10	25	8	0	12	0	739134	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	6	0	1	1	0	0	0	1	NA	NA	NA	0	0	0	0	0	30	94	6	6	6	1
35	0	1	1	0	18	15	34	14	0	13	0	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	7.244228	6.438099	1	0	0	0	0	0	0	1	1400	719	930	0	0	0	0	0	44	132	1	1	1	1
