cusip	year	pstar	z0	pricef	divf	rnda	adva	fyr	ardsic	exityr	inva	cfa	debta	sales	netcap	earnsh	nyseamex	h0	h1	vala	oneper	sharef
32	1970	4.45946	31.21624	10	0	0	0	12	11	1977	0.12219	0.2003	0.04644	45.33499	22.64583	0.17	1	53.51015	19.18859	1.1724	-0.48167	2655
32	1971	5.1888	31.13281	5.75	0	0	0	12	11	1977	0.09184	0.07234	0.66158	47.03299	19.2841	-0.65	1	54.7737	16.40725	0.79165	-0.19062	2655
32	1972	5.6654	28.327	5.125	0	0	0.00543	12	11	1977	0.0939	0.22845	0.57597	34.362	14.90893	0.72	1	52.25176	12.75835	0.91267	-0.694	2655
32	1973	6.21698	24.86791	1.75	0	0	0.01365	12	11	1977	0.116	0.24793	0.51771	37.75	16.25845	0.64	1	44.97321	9.45681	0.28577	0.06977	2655
32	1974	6.9163	20.74889	2.125	0	0	0	12	11	1977	0.09858	0.25247	0.54761	50.325	15.85547	0.87	1	41.04197	6.54565	0.29713	0.81614	2217
32	1975	7.93705	15.87411	4.375	0	0	0	12	11	1977	0.18723	0.33465	0.34432	51.19199	16.60529	1.02	1	38.79783	4.03527	0.55619	0.17219	2111
32	1976	9.11804	9.11804	5.75	0	0	0	12	11	1977	0.34948	0.24269	0.55432	66.41399	31.9588	1.47	1	39.84019	1.80555	0.38053	0.46799	2115
32	1977	10	0	9.25	0.1	0	0	12	11	1977	0.18235	0.1199	0.60564	77.946	36.33746	0.8	1	34.97024	0	0.56665	.	2226
209	1987	22.86325	91.45301	10.5	0	0	2.55618	12	3	1991	0.09453	3.2698	8.74559	74.862	10.43	0.2	0	9.06488	9.06488	9.06242	0.55139	9002
209	1988	25.57413	76.7224	18.5	0	0	3.33064	12	3	1991	0.04377	5.01435	5.99452	102.35399	9.893	0.81	0	6.25974	6.25974	16.89927	0.36866	9037
209	1989	30.03303	60.06607	29.25	0	0	3.41376	12	3	1991	0.0685	5.51053	3.9051	110.924	10.54	1.08	0	3.92211	3.92211	25.14279	0.03724	9060
209	1990	34.38001	34.38001	34.75	0	0	3.19934	12	3	1991	0.11257	5.29207	2.12922	118.62299	12.34754	1.26	0	1.74518	1.74518	25.60474	-0.01065	9098
209	1991	39	0	39	0.4	0	3.95802	12	3	1991	0.03416	6.28411	0.74828	123.099	11.506	1.53	0	0	0	31.14306	.	9188
800	1963	20.66988	276.33795	11.5	0.25	0.00823	0	4	27	1983	0.09452	0.16414	0.35581	277.69995	236.98862	4.5	1	84.52438	66.76014	0.85832	0.24013	17688
800	1964	22.2405	280.53172	15.1875	0.44583	0.00659	0	4	27	1983	0.11187	0.2054	0.306	304.09985	265.47803	7.44	1	82.47729	63.77522	1.01876	-0.00956	17808
800	1965	22.8981	270.68457	15.91667	0.6	0.0052	0	4	27	1983	0.12077	0.20059	0.34677	323.19995	292.28857	4.21	1	76.91865	58.41935	0.96713	1.01247	17760
800	1966	23.35647	271.75031	33.66667	1.83333	0.00477	0	4	27	1983	0.15008	0.21568	0.42272	342.59985	314.50806	5.13	1	74.67365	55.3672	0.92295	-0.10419	8622
800	1967	21.72003	237.89741	32	1.46667	0.00436	0	4	27	1983	0.10359	0.15767	0.42725	276.5	341.73242	3.8	1	63.76924	47.42942	0.79262	-0.0466	8464.5
800	1968	21.77951	229.09203	32.58333	1.53333	0.00368	0.00345	4	27	1983	0.11069	0.14489	0.42524	270.22485	395.69165	3.75	1	59.25822	43.21546	0.69676	-0.07584	8461.5
