year	debt	gdp	inflation
1791	38.614	5.95534	-.653273
1792	36.5267	7.25995	2.55459
1793	31.371	8.0786	5.14233
1794	26.0476	13.1313	9.60714
1795	22.0427	6.42857	15.1764
1796	20.0157	3.18792	4.5614
1797	19.324	1.95122	-1.91388
1798	19.1241	4.30622	-4.12844
1799	18.8582	7.03364	.264808
1800	17.2996	5.71429	3.1941
1801	15.826	4.86486	1.32088
1802	17.1233	3.09278	-14.4118
1803	18.0056	1.75	4.8321
1804	15.5306	3.80835	6.36588
1805	13.522	5.32544	.317999
1806	11.3473	4.7191	4.01977
1807	11.2407	.107296	-5.01994
1808	8.90987	.214362	10.1088
1809	7.81959	7.70053	-1.34682
1810	6.85794	5.56107	-2.48188
1811	5.94865	4.51552	3.88067
1812	7.17472	3.9604	-1.2782
1813	8.48832	5.71429	16.4241
1814	9.33025	4.1769	6.98949
1815	13.8408	.786164	-14.6894
1816	15.2459	0	-11.9565
1817	13.614	2.34009	-8.31828
1818	13.0863	3.65854	-7.33746
1819	12.6411	1.91176	-3.22007
1820	12.8553	3.96825	-6.48855
1821	12.8146	5.34351	-1.00414
1822	11.3595	3.82082	5.55594
1823	12.036	3.61675	-9.52235
1824	11.1718	5.93999	-5.60694
1825	10.0067	4.45087	3.3979
1826	8.60318	3.54178	2.54106
1827	7.41484	3.09995	2.6324
1828	6.5642	1.34785	-3.4985
1829	5.27885	3.83632	-.448331
1830	3.87358	9.16256	.568003
1831	2.33868	8.25812	-4.88446
1832	.625152	6.75281	.880065
1833	.41392	3.08473	-.394007
1834	.002788	1.70455	3.45397
1835	.002821	5.28864	4.39621
1836	.023079	2.97135	6.60678
1837	.214813	.893164	4.54569
1838	.660394	4.1539	-1.49442
1839	.216566	2.54985	1.83377
1840	.336595	.286898	-5.72502
1841	.828932	2.25683	2.808
1842	1.26258	3.17066	-5.43728
1843	2.11245	4.97138	-7.71294
1844	1.38826	5.68312	3.16903
1845	.865506	6.32808	2.39603
1846	.762265	8.12261	2.5406
1847	1.62454	6.80369	9.69365
1848	1.9602	3.36209	-2.84793
1849	2.62758	1.39097	-1.37189
1850	2.47862	4.66442	1.91302
1851	2.52981	8.04598	-2.38531
1852	2.17761	11.5342	.948981
1853	1.82327	8.18273	-.266211
1854	1.14789	3.44934	8.45417
1855	.903222	4.17165	2.77769
1856	.79732	4.01895	-2.15566
1857	.693233	.510556	2.71746
1858	1.10894	4.04997	-5.98163
1859	1.33554	7.2437	.843358
1860	1.49063	1.02116	-1.68885
1861	1.96915	1.7781	3.89968
1862	9.05313	12.4207	11.963
1863	14.6952	7.69558	22.2021
1864	19.1943	1.13659	22.7518
1865	27.1321	2.86329	1.53258
1866	30.848	-4.58864	-4.63201
1867	32.1118	1.71264	-8.79231
1868	32.0452	3.89623	-5.94286
1869	32.9739	2.72308	-6.23429
1870	32.05	3.00862	-4.28109
1871	31.0041	4.7195	-6.35745
1872	27.3785	8.41837	.01271
1873	25.5369	8.47059	-1.98417
1874	26.553	1.80766	-4.80649
1875	27.3564	-.142045	-3.63671
1876	26.2382	4.12518	-2.19634
1877	25.8838	4.98634	-2.34246
1878	26.9237	3.18803	-4.68196
1879	25.1022	11.6646	.026818
1880	20.3886	8.3004	2.5953
1881	17.8363	12.513	-.866187
1882	15.7239	5.32901	-.148672
1883	15.3185	2.72767	-1.85734
1884	15.513	-1.62741	-2.47796
1885	16.0687	.34828	-2.0361
1886	14.5497	8.1128	-2.71974
1887	12.6535	7.26324	.1061
1888	12.1788	5.76132	.326729
1889	11.6479	2.86523	-2.78542
1890	10.2791	9.73177	-1.00124
1891	10.0389	1.15951	.817762
1892	9.68576	5.11152	1.31478
1893	10.0389	-5.80607	-.309457
1894	11.5763	-4.72466	-3.90122
1895	10.7444	11.3957	-.679948
1896	11.4183	-1.65094	1.02687
1897	11.2202	4.31655	.191324
1898	9.92559	10.9483	.703138
1899	10.215	6.83761	.839779
1900	10.3736	2.49697	3.06746
1901	9.61133	5.32167	2.78268
1902	8.95689	5.1426	2.78588
1903	8.50373	2.90474	4.4353
1904	8.80935	-3.52843	2.85704
1905	7.89797	11.2737	.708695
1906	7.53923	4.09899	3.40051
1907	7.24834	2.56315	6.62196
1908	8.72693	-10.8113	-.446401
1909	8.19735	7.22843	-.234716
1910	7.94211	1.07934	2.6191
1911	8.06298	3.24091	-.529154
1912	7.66945	4.68155	4.16153
1913	7.45832	3.95216	.57074
1914	7.97945	-7.6705	1.1057
1915	7.90216	2.72711	3.21268
1916	7.2767	13.8713	12.5528
1917	9.57751	-2.47028	23.4115
1918	19.2509	9.02327	16.4597
1919	34.9821	.798606	2.47974
1920	29.358	-.93633	13.9662
1921	32.5781	-2.29751	-14.7842
1922	31.2853	5.5663	-5.53022
1923	26.1706	13.1538	2.82355
1924	24.4543	3.08996	-1.29355
1925	22.6448	2.34469	1.86925
1926	20.2716	6.53047	.397234
1927	19.3842	.964416	-2.38619
1928	18.0742	1.15283	.82716
1929	16.3427	6.0458	.301472
1930	17.747	-8.61822	-3.66692
1931	21.9625	-6.48522	-10.3013
1932	33.1976	-13.0674	-11.7339
1933	39.9622	-1.29512	-2.65752
1934	40.9896	10.8878	5.53127
1935	39.1554	8.88721	1.99601
1936	40.3085	13.052	1.12574
1937	39.6351	5.12322	4.32126
1938	43.1646	-3.44358	-2.9699
1939	43.8607	8.07979	-.920621
1940	42.3743	8.77144	1.10955
1941	38.6436	17.0709	6.73081
1942	44.7328	18.454	7.87493
1943	68.8299	16.37	5.41228
1944	91.4483	8.07711	2.40348
1945	116.001	-1.12028	2.60534
1946	121.252	-10.9422	11.8838
1947	105.812	-.898337	10.8518
1948	93.7541	4.39727	5.59826
1949	94.5997	-.51235	-.194704
1950	87.6259	8.74397	1.07932
1951	75.2202	7.7318	7.23486
1952	72.3151	3.83138	1.70313
1953	70.1479	4.60359	1.20208
1954	71.309	-.630539	.926388
1955	66.1621	7.19859	1.69613
1956	62.3573	1.97576	3.4303
1957	58.67	2.01592	3.33522
1958	59.1488	-.903464	2.24669
1959	56.1993	7.17334	1.17555
1960	54.3941	2.47602	1.39778
1961	53.0417	2.33141	1.13751
1962	50.9136	6.0582	1.36636
1963	49.5079	4.37118	1.06298
1964	46.973	5.78788	1.53659
1965	44.121	6.42042	1.82582
1966	40.6128	6.51506	2.83964
1967	39.1904	2.52776	3.0694
1968	38.2038	4.84211	4.2505
1969	35.9326	3.1064	4.93975
1970	35.7237	.190061	5.27533
1971	35.3328	3.35839	4.99733
1972	34.5149	5.31122	4.31916
1973	33.1434	5.79426	5.54912
1974	31.6812	-.551149	9.07981
1975	32.5572	-.212683	9.44919
1976	34.0038	5.3653	5.73912
1977	34.4239	4.59806	6.37171
1978	33.6361	5.57673	7.02122
1979	32.2582	3.12456	8.31669
1980	32.5563	-.273271	9.11482
1981	31.913	2.53811	9.37208
1982	35.1049	-1.94248	6.10351
1983	38.9637	4.5189	3.95244
1984	39.9976	7.18523	3.75685
1985	43.2271	4.1386	3.02707
1986	47.6515	3.46313	2.21247
1987	49.6216	3.20045	2.90161
1988	51.0222	4.11032	3.43371
1989	52.1229	3.57241	3.7764
1990	55.742	1.87677	3.85881
1991	61.1689	-.234008	3.54547
1992	64.0875	3.39359	2.37033
1993	66.1651	2.85142	2.21142
1994	66.2331	4.07467	2.10584
1995	67.0827	2.51389	2.08425
1996	66.6557	3.74105	1.90341
1997	64.965	4.45627	1.76598
1998	62.8441	4.35546	1.12918
1999	60.4722	4.82618	1.47116
2000	57.0183	4.13922	2.16451
2001	56.4588	1.07964	2.25928
2002	58.5234	1.81366	1.6189
2003	60.8793	2.49026	2.15249
2004	62.1771	3.57327	2.83844
2005	62.7667	3.05452	3.33676
2006	63.49	2.67281	3.25769
2007	63.9855	2.14161	2.8626
2008	74.0911	.438166	2.13653
2009	83.4828	-2.73017	1.5594
