Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
-3224.6323170931637,-880.4282370552784,-1428.3856949992175,-387.59093459559625,-1305.6998486565487,-1546.7677042013224,-2619.4312884875812,-1210.687131917734,-6304.558251320736,-5761.319479774926,-23783.235245323056,-23599.155358348733,-1404.9888749434842,-664.3517224229178,-681.8501844814074,-674.378931018232,-582.9543820609548
-880.4282370552784,-880.4282370552784,0.0,-10.076361578625994,-404.23413474447085,-421.32757540263685,-686.268053773005,-331.9792492782152,-1720.7476397292985,-1655.0792540266505,-6607.989443524116,-6563.049856909401,-390.078075551086,-163.7777403901563,-189.33729171154934,-211.55444016783713,-170.06932225388383
-1428.3856949992175,0.0,-1428.3856949992175,-165.22677033814392,-560.3440097381873,-675.9773855218795,-1192.1387587291936,-544.7133610454712,-2796.018302626824,-2551.2364457412073,-10512.663121444586,-10428.544668193383,-586.8866207257839,-283.71101966745806,-308.8773471223645,-299.4399743267746,-266.60578147545135
-387.59093459559625,-10.076361578625994,-165.22677033814392,-715.6050127102415,-185.71963213990404,-187.92797701776303,-325.00290788139495,-152.3491802406599,-783.9173373851107,-693.9968697171158,-2739.1526439204736,-2721.006112474761,43.925072005479564,-59.79165501806744,-104.65063370644353,-92.37025235618046,-77.26652364456983
-1305.6998486565487,-404.23413474447085,-560.3440097381873,-185.71963213990404,-1305.6998486565487,-693.5230338221891,-973.1307648018901,-501.4095827490417,-2556.3483560054883,-2592.7215636551587,-9553.531121756327,-9586.876508427877,-501.9502655654747,-214.5036191664594,-290.98566119739195,-299.4399743267746,-192.87630650989607
-1546.7677042013224,-421.32757540263685,-675.9773855218795,-187.92797701776303,-693.5230338221891,-806.4437739561896,-1231.5217013044673,-585.3073346991741,-3024.72909632878,-2841.3727392839983,-11435.21033485719,-11359.468969839389,-660.4823987813961,-312.0958840778835,-326.3227236550129,-325.5107163423651,-282.99338569979034
-2619.4312884875812,-686.268053773005,-1192.1387587291936,-325.00290788139495,-973.1307648018901,-1231.5217013044673,-2224.652666841306,-992.4601717147889,-5125.867733028331,-4620.750052710736,-19218.64350727601,-19050.914655523506,-1228.3192829700045,-545.1144478862005,-551.4315894922069,-540.1342678475293,-477.3875355650123
-1210.687131917734,-331.9792492782152,-544.7133610454712,-152.3491802406599,-501.4095827490417,-585.3073346991741,-992.4601717147889,-528.6280472572579,-2369.86193732619,-2169.2686124365187,-8869.944364182857,-8798.625843784643,-557.4931367061669,-248.12425975073356,-257.31586762977224,-253.33447598163264,-220.35282418037767
-6304.558251320736,-1720.7476397292985,-2796.018302626824,-783.9173373851107,-2556.3483560054883,-3024.72909632878,-5125.867733028331,-2369.86193732619,-12464.410119775508,-11264.880715070343,-46482.686529782884,-46118.42557251794,-2718.946424796173,-1297.8353713269262,-1333.2255193103879,-1318.8728481837618,-1134.647466736517
-5761.319479774926,-1655.0792540266505,-2551.2364457412073,-693.9968697171158,-2592.7215636551587,-2841.3727392839983,-4620.750052710736,-2169.2686124365187,-11264.880715070343,-10834.69380513725,-42612.43174316568,-42303.33222941154,-2419.5064504694287,-1169.8410027867333,-1223.7126724948937,-1213.8820758328204,-1033.5889330504042
-23783.235245323056,-6607.989443524116,-10512.663121444586,-2739.152643920472,-9553.531121756327,-11435.210334857189,-19218.643507276007,-8869.944364182857,-46482.686529782884,-42612.43174316568,-176722.12991812202,-175070.8479196614,-10062.119012233181,-4908.226203777191,-5017.540465463719,-4970.070481790682,-4271.636079727785
-23599.155358348733,-6563.049856909401,-10428.544668193383,-2721.00611247476,-9586.876508427877,-11359.46896983939,-19050.914655523506,-8798.625843784643,-46118.42557251794,-42303.33222941154,-175070.8479196614,-174101.19244309003,-9978.674938582366,-4850.992462904193,-4978.921952287118,-4944.7822566003215,-4247.0536912671305
-1404.9888749434842,-390.078075551086,-586.8866207257839,43.925072005479564,-501.9502655654747,-660.4823987813961,-1228.3192829700045,-557.4931367061669,-2718.946424796173,-2419.5064504694287,-10062.119012233181,-9978.674938582366,-1404.9888749434842,-292.9517805298065,-306.9112277899499,-305.7315561905012,-268.37528887462446
-664.3517224229178,-163.7777403901563,-283.71101966745806,-59.79165501806744,-214.5036191664594,-312.0958840778835,-545.1144478862005,-248.12425975073356,-1297.8353713269262,-1169.8410027867333,-4908.226203777191,-4850.992462904193,-292.9517805298065,-664.3517224229178,0.0,0.0,0.0
-681.8501844814074,-189.33729171154934,-308.8773471223645,-104.65063370644353,-290.98566119739195,-326.3227236550129,-551.4315894922069,-257.31586762977224,-1333.2255193103879,-1223.7126724948937,-5017.540465463719,-4978.921952287118,-306.9112277899499,0.0,-681.8501844814074,0.0,0.0
-674.378931018232,-211.55444016783713,-299.4399743267746,-92.37025235618046,-299.4399743267746,-325.5107163423651,-540.1342678475293,-253.33447598163264,-1318.8728481837618,-1213.8820758328204,-4970.070481790682,-4944.7822566003215,-305.7315561905012,0.0,0.0,-674.378931018232,0.0
-582.9543820609548,-170.06932225388383,-266.60578147545135,-77.26652364456983,-192.87630650989607,-282.99338569979034,-477.3875355650123,-220.35282418037767,-1134.647466736517,-1033.5889330504042,-4271.636079727785,-4247.0536912671305,-268.37528887462446,0.0,0.0,0.0,-582.9543820609548
