x1,x2,weight
0.0004509,0.003084,1.08E-05
0.0004509,0.0197544,3.28E-05
0.0004509,0.0557704,5.91E-05
0.0004509,0.1127017,8.55E-05
0.0004509,0.1894485,0.000109116
0.0004509,0.2828781,0.00012764
0.0004509,0.3883067,0.000139428
0.0004509,0.5,0.00014347
0.0004509,0.6116933,0.000139428
0.0004509,0.7171219,0.00012764
0.0004509,0.8105515,0.000109116
0.0004509,0.8872983,8.55E-05
0.0004509,0.9442296,5.91E-05
0.0004509,0.9802456,3.28E-05
0.0004509,0.996916,1.08E-05
0.003084,0.0004509,1.08E-05
0.003084,0.003084,-5.64E-07
0.003084,0.0092344,6.99E-05
0.003084,0.0197544,-8.30E-07
0.003084,0.0351726,0.000152834
0.003084,0.0557704,-1.54E-06
0.003084,0.081637,0.000242189
0.003084,0.1127017,-2.23E-06
0.003084,0.1487519,0.000326773
0.003084,0.1894485,-2.84E-06
0.003084,0.2343401,0.000397958
0.003084,0.2828781,-3.33E-06
0.003084,0.3344323,0.000449144
0.003084,0.3883067,-3.63E-06
0.003084,0.4437555,0.000475867
0.003084,0.5,-3.74E-06
0.003084,0.5562445,0.000475867
0.003084,0.6116933,-3.63E-06
0.003084,0.6655677,0.000449144
0.003084,0.7171219,-3.33E-06
0.003084,0.7656599,0.000397958
0.003084,0.8105515,-2.84E-06
0.003084,0.8512481,0.000326773
0.003084,0.8872983,-2.23E-06
0.003084,0.918363,0.000242189
0.003084,0.9442296,-1.54E-06
0.003084,0.9648274,0.000152834
0.003084,0.9802456,-8.30E-07
0.003084,0.9907656,6.99E-05
0.003084,0.996916,-5.64E-07
0.003084,0.9995491,1.08E-05
0.0092344,0.003084,6.99E-05
0.0092344,0.0197544,0.000212167
0.0092344,0.0557704,0.00038207
0.0092344,0.1127017,0.000552648
0.0092344,0.1894485,0.000705172
0.0092344,0.2828781,0.000824884
0.0092344,0.3883067,0.000901063
0.0092344,0.5,0.000927186
0.0092344,0.6116933,0.000901063
0.0092344,0.7171219,0.000824884
0.0092344,0.8105515,0.000705172
0.0092344,0.8872983,0.000552648
0.0092344,0.9442296,0.00038207
0.0092344,0.9802456,0.000212167
0.0092344,0.996916,6.99E-05
0.0197544,0.0004509,3.28E-05
0.0197544,0.003084,-8.30E-07
0.0197544,0.0092344,0.000212167
0.0197544,0.0197544,1.55E-07
0.0197544,0.0351726,0.000463877
0.0197544,0.0557704,1.29E-07
0.0197544,0.081637,0.000735082
0.0197544,0.1127017,2.04E-07
0.0197544,0.1487519,0.000991808
0.0197544,0.1894485,2.57E-07
0.0197544,0.2343401,0.001207866
0.0197544,0.2828781,3.00E-07
0.0197544,0.3344323,0.001363225
0.0197544,0.3883067,3.29E-07
0.0197544,0.4437555,0.001444332
0.0197544,0.5,3.38E-07
0.0197544,0.5562445,0.001444332
0.0197544,0.6116933,3.29E-07
0.0197544,0.6655677,0.001363225
0.0197544,0.7171219,3.00E-07
0.0197544,0.7656599,0.001207866
0.0197544,0.8105515,2.57E-07
0.0197544,0.8512481,0.000991808
0.0197544,0.8872983,2.04E-07
0.0197544,0.918363,0.000735082
0.0197544,0.9442296,1.29E-07
0.0197544,0.9648274,0.000463877
0.0197544,0.9802456,1.55E-07
0.0197544,0.9907656,0.000212167
0.0197544,0.996916,-8.30E-07
0.0197544,0.9995491,3.28E-05
0.0351726,0.003084,0.000152834
0.0351726,0.0197544,0.000463877
0.0351726,0.0557704,0.00083535
0.0351726,0.1127017,0.001208299
0.0351726,0.1894485,0.001541773
0.0351726,0.2828781,0.001803511
0.0351726,0.3883067,0.001970066
0.0351726,0.5,0.002027181
0.0351726,0.6116933,0.001970066
0.0351726,0.7171219,0.001803511
0.0351726,0.8105515,0.001541773
0.0351726,0.8872983,0.001208299
0.0351726,0.9442296,0.00083535
0.0351726,0.9802456,0.000463877
0.0351726,0.996916,0.000152834
0.0557704,0.0004509,5.91E-05
0.0557704,0.003084,-1.54E-06
0.0557704,0.0092344,0.00038207
0.0557704,0.0197544,1.29E-07
0.0557704,0.0351726,0.00083535
0.0557704,0.0557704,-3.72E-08
0.0557704,0.081637,0.001323739
0.0557704,0.1127017,-2.22E-08
0.0557704,0.1487519,0.001786051
0.0557704,0.1894485,-3.43E-08
0.0557704,0.2343401,0.002175128
0.0557704,0.2828781,-4.24E-08
0.0557704,0.3344323,0.0024549
0.0557704,0.3883067,-4.38E-08
0.0557704,0.4437555,0.002600958
