nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,duration,i_open,considerations,applications,score_0,score_1,score_2,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2,likelihood_quadrature,likelihood_ghk,likelihood_ghk_pseudo,likelihood_accept_reject,likelihood_accept_reject_pseudo
201145,1706.6544117647056,0.37,2013,0.24,3.5099999979138374,0.97,1.0,2,2,4.0,1.0,1.0,1.0,5.91,6.63,6.93,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.14368760302033098,0.15186890830193087,0.15702993348954858,0.18,0.1
200872,1905.339552238806,0.35,2013,0.73,3.399999998509884,1.23,0.25,2,2,4.0,1.0,1.0,1.0,7.29,6.18,6.41,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,4.13,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.16300550317305815,0.15910196819214323,0.1642322783231889,0.17,0.13
201330,1905.339552238806,0.34,2013,-0.27,3.519999995827675,0.91,0.25,2,2,2.0,0.0,1.0,1.0,6.41,5.81,3.98,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,3.25,3.895689,3.8419178,3.6166666,1.0,0.0,1.0,0.05096461325188379,0.04378783303199123,0.04097710852527212,0.03,0.07
202233,1437.5872747747746,0.33,2013,-0.07,3.5699999928474426,0.97,0.5,2,2,4.0,1.0,1.0,1.0,6.81,5.89,6.23,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.16997738785224858,0.16867551801754993,0.17412392382221387,0.18,0.14
201022,1437.5872747747746,0.34,2013,-0.15,4.399999991059303,0.78,0.5,2,1,4.0,1.0,3.0,3.0,8.1,8.01,6.33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,4.25,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.16608666622534282,0.14340716399758802,0.14746561879183628,0.14,0.07
200657,1905.339552238806,0.33,2013,-0.15,3.399999998509884,0.95,0.5,2,2,3.0,0.0,1.0,1.0,6.91,7.3,6.85,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,3.25,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.09791624940273333,0.09157846502143759,0.09052895250284712,0.1,0.12
202426,3025.065165876777,0.32,2013,-0.15,3.399999998509884,1.02,0.25,2,1,4.0,1.0,1.0,1.0,6.45,7.38,7.47,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,3.25,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1250036617260641,0.13082408828988817,0.13512362358057434,0.14,0.09
203887,2677.617101449275,0.32,2013,-0.15,3.5299999937415123,0.87,0.25,2,2,4.0,1.0,3.0,1.0,8.14,7.98,8.13,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,3.3799999,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10419142116683927,0.10544922151107547,0.1089084942448646,0.1,0.06
200220,1713.591902552204,0.31,2013,0.23,3.399999998509884,0.62,0.25,2,1,3.0,0.0,2.0,2.0,7.83,7.33,7.18,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,3.63,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.09896223977270377,0.09284108673088891,0.09153419621256788,0.1,0.12
202861,1028.7492580645162,0.64,2013,-0.41,3.9099999964237213,0.97,0.5,2,2,4.0,1.0,2.0,1.0,7.9,7.33,7.54,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.12268903295482321,0.12271300814261156,0.12683426994209693,0.13,0.07
203835,1706.6544117647056,0.28,2013,-0.71,4.459999993443489,0.7,0.5,2,1,4.0,0.0,2.0,2.0,7.88,7.88,7.99,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10841537807993197,0.1100115035147612,0.11361395151423928,0.12,0.07
201211,1208.7694108019639,0.29,2013,-0.46,4.459999993443489,0.96,0.5,2,1,4.0,0.0,2.0,2.0,6.9,6.89,6.58,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,4.0,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.15655278879492407,0.15354515070223143,0.15845440218700962,0.16,0.1
204020,1437.5872747747746,0.34,2013,0.35,4.399999991059303,0.79,0.25,2,1,4.0,1.0,1.0,2.0,7.41,7.46,7.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,4.75,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.12566958296106157,0.12654072866916033,0.13070007479234774,0.14,0.09
203804,1437.5872747747746,0.29,2013,0.21,3.5399999991059303,0.9,0.5,1,1,4.0,1.0,4.0,1.0,7.8,7.67,7.87,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11211823501906652,0.11402493936314234,0.11781720101749447,0.12,0.08
204365,1028.7492580645162,0.53,2013,0.22,3.5299999937415123,0.79,0.25,2,2,4.0,0.0,1.0,1.0,8.19,8.08,8.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1021184153540774,0.10329877972899261,0.10666216959517608,0.1,0.06
202705,1437.5872747747746,0.56,2013,-0.48,3.9799999967217445,0.36,0.0,2,2,4.0,0.0,2.0,1.0,8.22,8.15,7.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11118541258827849,0.10928052995634578,0.1127473673634984,0.11,0.06
202642,1437.5872747747746,0.47,2013,0.09,3.4099999964237213,0.52,0.25,2,2,4.0,1.0,2.0,1.0,7.93,7.94,8.04,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10689491651832954,0.10842289559010794,0.11196134001359026,0.12,0.07
203046,1437.5872747747746,0.47,2013,-0.04,3.5399999991059303,0.64,0.25,2,2,4.0,0.0,1.0,1.0,8.07,8.03,8.04,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10689491651832954,0.10745094636793119,0.110929512755976,0.11,0.06
201911,1437.5872747747746,0.62,2013,-0.03,3.5299999937415123,0.79,0.25,2,2,4.0,1.0,2.0,1.0,6.71,6.51,6.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.14657724629972782,0.15015039314499987,0.15522235724785102,0.18,0.11
204604,1706.6544117647056,0.46,2013,0.22,3.9099999964237213,0.8,0.25,2,2,4.0,1.0,1.0,1.0,7.5,7.97,8.03,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,4.13,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10719795789677233,0.11013676891264962,0.11367557148839001,0.12,0.09
204005,1028.7492580645162,0.57,2013,0.13,3.369999997317791,0.58,0.5,2,2,4.0,1.0,1.0,1.0,8.13,8.11,8.17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1030036557985333,0.1040336643471182,0.10739656379688808,0.1,0.06
202870,1028.7492580645162,0.59,2013,0.35,3.5299999937415123,0.96,0.25,2,2,4.0,1.0,1.0,1.0,8.23,8.11,8.21,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,3.8799999,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10182438887771392,0.10280091127993726,0.10614043810200498,0.1,0.06
203808,1437.5872747747746,0.66,2013,0.31,4.569999992847443,0.9,0.5,2,2,4.0,1.0,1.0,1.0,7.23,7.11,7.11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,4.88,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1372990520708974,0.13746243909541409,0.14199681625451208,0.14,0.1
200174,1706.6544117647056,0.37,2013,0.34,3.4099999964237213,1.03,0.25,2,2,3.0,0.0,2.0,1.0,7.43,7.57,7.48,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.09959194316452528,0.09907169497047143,0.09833400859019559,0.11,0.11
200364,1028.7492580645162,0.51,2013,0.18,3.5699999928474426,0.7,0.25,2,2,4.0,1.0,2.0,1.0,7.61,7.77,8.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1075014988957644,0.11091674540362323,0.11458263297831962,0.12,0.08
200531,1028.7492580645162,0.62,2013,0.26,4.36999998986721,0.49,0.5,2,2,4.0,0.0,3.0,2.0,7.65,7.06,7.04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,4.63,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.13976472077009094,0.1370616930533488,0.14155619923530602,0.15,0.09
203449,3025.065165876777,0.47,2013,0.73,4.399999991059303,1.25,0.5,2,2,4.0,0.0,2.0,1.0,6.35,6.37,6.46,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,5.13,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.16109415574533842,0.16330979178134716,0.1686834550925991,0.18,0.12
204456,1437.5872747747746,0.45,2013,0.23,3.399999998509884,0.88,0.5,2,2,4.0,1.0,1.0,1.0,7.53,6.61,7.82,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,3.63,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11368340887880003,0.12060405916133714,0.12500799858587808,0.12,0.09
204004,1905.339552238806,0.61,2013,1.5,4.219999998807907,0.64,0.0,2,2,3.0,0.0,1.0,1.0,7.78,6.87,7.39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,5.72,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.09943541997135434,0.10426134753815196,0.10254519482143594,0.11,0.12
201974,1028.7492580645162,0.6,2013,0.37,4.509999990463257,1.02,0.5,2,2,3.0,0.0,2.0,1.0,7.34,6.87,7.9,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,4.88,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.099953760946582,0.12046975663352441,0.11919942802284857,0.14,0.12
202687,1028.7492580645162,0.72,2013,0.5,3.3799999952316284,0.31,0.5,2,2,4.0,1.0,1.0,1.0,6.84,8.07,8.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,3.88,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10659240394596561,0.11146148301375311,0.11491412958353271,0.12,0.09
200600,1028.7492580645162,0.62,2013,-0.03,3.9099999964237213,1.02,0.25,2,1,4.0,0.0,2.0,2.0,8.1,7.9,8.24,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,3.88,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10094552855648428,0.10354280388961629,0.10699227614508937,0.1,0.06
202382,1905.339552238806,0.59,2013,0.47,3.5299999937415123,0.55,0.25,2,2,4.0,0.0,1.0,1.0,7.26,7.63,7.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,4.0,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11749315645951809,0.12043274065182684,0.12437918301688536,0.12,0.09
201819,1437.5872747747746,0.63,2013,-0.46,4.459999993443489,0.73,0.25,2,2,4.0,1.0,2.0,1.0,8.05,7.46,7.49,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,4.0,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.12433978252847161,0.12250114643657628,0.12655088452917326,0.12,0.06
202534,1905.339552238806,0.48,2013,0.29,3.339999996125698,0.63,0.25,2,2,4.0,0.0,1.0,1.0,6.79,6.58,7.12,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,3.63,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.13694878835446697,0.14236200042720498,0.14727065554604932,0.15,0.1
201164,1706.6544117647056,0.53,2013,0.74,3.5099999979138374,1.08,0.5,2,2,4.0,1.0,1.0,1.0,6.71,6.65,6.66,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,4.25,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1535616879934435,0.15421943326491844,0.1592834528637383,0.17,0.1
203547,1437.5872747747746,0.54,2013,0.81,3.3199999928474426,0.75,0.25,2,2,4.0,0.0,1.0,1.0,7.43,6.42,6.78,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,4.13,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1491306935299539,0.14783384899259233,0.15275411440529874,0.17,0.12
202955,1028.7492580645162,0.71,2013,-0.03,3.5299999937415123,0.36,0.25,2,2,4.0,0.0,1.0,1.0,8.06,8.03,8.21,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10182438887771392,0.10378966313605639,0.10718103588856193,0.1,0.06
