I,C,P,U0,U1,EV
0,0,4,0.0,-4.0,61.128
1,0,4,0.0,-4.0,65.01
2,0,4,0.0,-4.0,68.482
3,0,4,0.0,-4.0,71.669
4,0,4,0.0,-4.0,74.63
5,0,4,0.0,-4.0,77.394
6,0,4,0.0,-4.0,79.959
7,0,4,0.0,-4.0,82.263
8,0,4,0.0,-4.0,84.073
0,1,4,-4.0,-2.0,58.491
1,1,4,2.0,-2.0,63.128
2,1,4,2.0,-2.0,67.01
3,1,4,2.0,-2.0,70.482
4,1,4,2.0,-2.0,73.669
5,1,4,2.0,-2.0,76.63
6,1,4,2.0,-2.0,79.394
7,1,4,2.0,-2.0,81.959
8,1,4,2.0,-2.0,84.263
0,0,1,0.0,-1.0,63.244
1,0,1,0.0,-1.0,66.895
2,0,1,0.0,-1.0,70.203
3,0,1,0.0,-1.0,73.26
4,0,1,0.0,-1.0,76.11
5,0,1,0.0,-1.0,78.766
6,0,1,0.0,-1.0,81.201
7,0,1,0.0,-1.0,83.282
8,0,1,0.0,-1.0,84.278
0,1,1,-4.0,1.0,61.025
1,1,1,2.0,1.0,65.244
2,1,1,2.0,1.0,68.895
3,1,1,2.0,1.0,72.203
4,1,1,2.0,1.0,75.26
5,1,1,2.0,1.0,78.11
6,1,1,2.0,1.0,80.766
7,1,1,2.0,1.0,83.201
8,1,1,2.0,1.0,85.282
